数据库类型		数据名称				描述对象	数据性质	提示词内容	数据描述	应用	可组合结构	数据来源	时效周期	应用类型标签
商业数据库	宏观数据库	经济增长数据			生产总值	供给端	定量数据	"1、查询xx国家的生产总值数据
2、查询xx地区的生产总值数据
3、查询xx国家与xx国家的生产总值对比数据
4、查询xx地区与xx地区的生产总值数据"	反映宏观经济中生产总值的统计指标数据		全球-国家,全球-国家vs国家,全球-地区vs地区,国家-地区,国家-地区vs地区	中国国家统计局,世界银行,国际货币基金组织IMF,联合国统计局UNSD,经济合作与发展组织OECD	年	经济
商业数据库	宏观数据库	经济增长数据			实际GDP	供给端	定量数据	"1、查询xx国家的生产总值数据
2、查询xx地区的生产总值数据
3、查询xx国家与xx国家的生产总值对比数据
4、查询xx地区与xx地区的生产总值数据"	反映宏观经济中实际GDP的统计指标数据		全球-国家,全球-国家vs国家,全球-地区vs地区,国家-地区,国家-地区vs地区	中国国家统计局,世界银行,国际货币基金组织IMF,联合国统计局UNSD,经济合作与发展组织OECD	年/季	经济
商业数据库	宏观数据库	经济增长数据			GDP增长率	供给端	定量数据	"1、查询xx国家的GDP增长率数据
2、查询xx地区的GDP增长率数据
3、查询xx国家与xx国家的GDP增长率对比数据
4、查询xx地区与xx地区的GDP增长率数据"	反映宏观经济中GDP增长率的统计指标数据		全球-国家,全球-国家vs国家,全球-地区vs地区,国家-地区,国家-地区vs地区	中国国家统计局,世界银行,国际货币基金组织IMF,联合国统计局UNSD,经济合作与发展组织OECD	年/季	经济
商业数据库	宏观数据库	经济增长数据			人均GDP	供给端	定量数据	"1、查询xx国家的人均GDP数据
2、查询xx地区的人均GDP数据
3、查询xx国家与xx国家的人均GDP对比数据
4、查询xx地区与xx地区的人均GDP数据"	反映宏观经济中人均GDP的统计指标数据		全球-国家,全球-国家vs国家,全球-地区vs地区,国家-地区,国家-地区vs地区	中国国家统计局,世界银行,国际货币基金组织IMF,联合国统计局UNSD,经济合作与发展组织OECD	年/季	经济
商业数据库	宏观数据库	就业和劳动力市场数据			失业率	供给/消费	定量数据	"1、查询xx国家的失业率数据
2、查询xx地区的失业率数据
3、查询xx国家与xx国家的失业率对比数据
4、查询xx地区与xx地区的失业率数据"	反映宏观经济中失业率的统计指标数据			中国国家统计局,国际劳工组织ILO,美国劳工统计局BLS,OECD	月/季	就业
商业数据库	宏观数据库	就业和劳动力市场数据			非农业就业人数	供给/消费	定量数据	"1、查询xx国家的非农业就业人数数据
2、查询xx地区的非农业就业人数数据
3、查询xx国家与xx国家的非农业就业人数对比数据
4、查询xx地区与xx地区的非农业就业人数数据"	反映宏观经济中非农业就业人数的统计指标数据			中国国家统计局,国际劳工组织ILO,美国劳工统计局BLS,OECD	月/季	就业
商业数据库	宏观数据库	就业和劳动力市场数据			劳动参与率	供给/消费	定量数据	"1、查询xx国家的劳动参与率数据
2、查询xx地区的劳动参与率数据
3、查询xx国家与xx国家的劳动参与率对比数据
4、查询xx地区与xx地区的劳动参与率数据"	反映宏观经济中劳动参与率的统计指标数据			中国国家统计局,国际劳工组织ILO,美国劳工统计局BLS,OECD	月/季	就业
商业数据库	宏观数据库	就业和劳动力市场数据			平均小时工资	消费端	定量数据	"1、查询xx国家的平均小时工资数据
2、查询xx地区的平均小时工资数据
3、查询xx国家与xx国家的平均小时工资对比数据
4、查询xx地区与xx地区的平均小时工资数据"	反映宏观经济中平均小时工资的统计指标数据			中国国家统计局,国际劳工组织ILO,美国劳工统计局BLS,OECD	月/季	就业
商业数据库	宏观数据库	人口数据			人口总数	供给端	定量数据	"1、查询xx国家的人口总数数据
2、查询xx地区的人口总数数据
3、查询xx国家与xx国家的人口总数对比数据
4、查询xx地区与xx地区的人口总数数据"	反映宏观经济中人口总数的统计指标数据			中国国家统计局,联合国人口司,世界银行	年	人口
商业数据库	宏观数据库	人口数据			人口增长率	供给端	定量数据	"1、查询xx国家的人口增长率数据
2、查询xx地区的人口增长率数据
3、查询xx国家与xx国家的人口增长率对比数据
4、查询xx地区与xx地区的人口增长率数据"	反映宏观经济中人口增长率的统计指标数据			中国国家统计局,联合国人口司,世界银行	年	人口
